algorithm,dataset,size,average_time_microseconds,average_character_comparisons
msd_radix_sort,random,1400,2899.2,6266
msd_radix_quick_sort,random,1400,861.379,8594
quick_sort,reverse_sorted,1400,11104.3,397658
merge_sort,reverse_sorted,1400,2546.93,22768
string_quick_sort,reverse_sorted,1400,3858.92,62372
string_merge_sort,reverse_sorted,1400,2499.62,22768
msd_radix_sort,reverse_sorted,1400,2828.68,6198
msd_radix_quick_sort,reverse_sorted,1400,1145.55,15952
quick_sort,nearly_sorted,1400,9521.31,379673
merge_sort,nearly_sorted,1400,2570.46,21708
string_quick_sort,nearly_sorted,1400,2324.5,34492
string_merge_sort,nearly_sorted,1400,2513.65,21708
msd_radix_sort,nearly_sorted,1400,2600.06,6132
msd_radix_quick_sort,nearly_sorted,1400,766.671,9506
quick_sort,prefix_heavy,1400,34031.9,1.37912e+06
merge_sort,prefix_heavy,1400,17684.9,722645
string_quick_sort,prefix_heavy,1400,1932.34,51311
string_merge_sort,prefix_heavy,1400,19793.5,722645
msd_radix_sort,prefix_heavy,1400,7174.45,81114
msd_radix_quick_sort,prefix_heavy,1400,4320.73,83033
quick_sort,random,1500,12933.5,458436
merge_sort,random,1500,3252.8,31522
string_quick_sort,random,1500,1194.69,16391
string_merge_sort,random,1500,3177.87,31522
msd_radix_sort,random,1500,3519.25,6744
msd_radix_quick_sort,random,1500,845.379,9494
quick_sort,reverse_sorted,1500,11774.3,447280
merge_sort,reverse_sorted,1500,2894.72,24656
string_quick_sort,reverse_sorted,1500,5507.06,66293
string_merge_sort,reverse_sorted,1500,2524.42,24656
msd_radix_sort,reverse_sorted,1500,3353.65,6730
msd_radix_quick_sort,reverse_sorted,1500,1255.53,17777
quick_sort,nearly_sorted,1500,11752.3,441114
merge_sort,nearly_sorted,1500,2541.67,22405
string_quick_sort,nearly_sorted,1500,3253.97,48709
string_merge_sort,nearly_sorted,1500,2533.3,22405
msd_radix_sort,nearly_sorted,1500,2936.98,6714
msd_radix_quick_sort,nearly_sorted,1500,863.425,10675
quick_sort,prefix_heavy,1500,35263.8,1.29456e+06
merge_sort,prefix_heavy,1500,18476.1,671350
string_quick_sort,prefix_heavy,1500,1919.9,52117
string_merge_sort,prefix_heavy,1500,19617.6,671350
msd_radix_sort,prefix_heavy,1500,7721.74,75112
msd_radix_quick_sort,prefix_heavy,1500,5230.59,77458
quick_sort,random,1600,12962.5,472787
merge_sort,random,1600,4174.47,33959
string_quick_sort,random,1600,1480.49,19428
string_merge_sort,random,1600,3689.82,33959
msd_radix_sort,random,1600,3550.33,7244
msd_radix_quick_sort,random,1600,945.337,10146
quick_sort,reverse_sorted,1600,11361.1,456654
merge_sort,reverse_sorted,1600,2892.93,26574
string_quick_sort,reverse_sorted,1600,4955.67,71142
string_merge_sort,reverse_sorted,1600,2903.02,26574
msd_radix_sort,reverse_sorted,1600,3275.11,7168
msd_radix_quick_sort,reverse_sorted,1600,1396.63,19717
quick_sort,nearly_sorted,1600,11548.5,458619
merge_sort,nearly_sorted,1600,2752.34,24425
string_quick_sort,nearly_sorted,1600,2808.76,45327
string_merge_sort,nearly_sorted,1600,2860.2,24425
msd_radix_sort,nearly_sorted,1600,3183.91,7184
msd_radix_quick_sort,nearly_sorted,1600,987.329,11602
quick_sort,prefix_heavy,1600,41520.5,1.70939e+06
merge_sort,prefix_heavy,1600,27349.3,963285
string_quick_sort,prefix_heavy,1600,1896.65,64492
string_merge_sort,prefix_heavy,1600,25791.3,963285
msd_radix_sort,prefix_heavy,1600,10003.3,105548
msd_radix_quick_sort,prefix_heavy,1600,7285.69,108083
quick_sort,random,1700,14357.3,513798
merge_sort,random,1700,3744.03,36854
string_quick_sort,random,1700,1481.15,19134
string_merge_sort,random,1700,4077.77,36854
msd_radix_sort,random,1700,4217.32,7712
msd_radix_quick_sort,random,1700,1103.28,10980
quick_sort,reverse_sorted,1700,14267.3,474426
merge_sort,reverse_sorted,1700,3625.51,28554
string_quick_sort,reverse_sorted,1700,5986.48,77262
string_merge_sort,reverse_sorted,1700,3666.95,28554
msd_radix_sort,reverse_sorted,1700,4519.17,7766
msd_radix_quick_sort,reverse_sorted,1700,1864.39,22021
quick_sort,nearly_sorted,1700,12839.7,461603
merge_sort,nearly_sorted,1700,3049.17,23456
string_quick_sort,nearly_sorted,1700,4010.24,56556
string_merge_sort,nearly_sorted,1700,3110.54,23456
msd_radix_sort,nearly_sorted,1700,3884.57,7712
msd_radix_quick_sort,nearly_sorted,1700,1077.95,12975
quick_sort,prefix_heavy,1700,36096.1,1.43516e+06
merge_sort,prefix_heavy,1700,21063.7,710880
string_quick_sort,prefix_heavy,1700,2446.94,53589
string_merge_sort,prefix_heavy,1700,20351.6,710880
msd_radix_sort,prefix_heavy,1700,8388.73,78522
msd_radix_quick_sort,prefix_heavy,1700,5801.7,81446
quick_sort,random,1800,15510.9,553085
merge_sort,random,1800,4458.62,39259
string_quick_sort,random,1800,1630.98,20135
string_merge_sort,random,1800,4304.1,39259
msd_radix_sort,random,1800,4014.81,8182
msd_radix_quick_sort,random,1800,1151.84,11880
quick_sort,reverse_sorted,1800,11693.9,471896
merge_sort,reverse_sorted,1800,2842.02,30264
string_quick_sort,reverse_sorted,1800,5605.72,82951
string_merge_sort,reverse_sorted,1800,2922.53,30264
msd_radix_sort,reverse_sorted,1800,3778.3,8176
msd_radix_quick_sort,reverse_sorted,1800,1616.5,24086
quick_sort,nearly_sorted,1800,13745.2,476111
merge_sort,nearly_sorted,1800,3643.19,30937
string_quick_sort,nearly_sorted,1800,4103.25,49622
string_merge_sort,nearly_sorted,1800,3611.1,30937
msd_radix_sort,nearly_sorted,1800,4181.86,8168
msd_radix_quick_sort,nearly_sorted,1800,1220.56,13081
quick_sort,prefix_heavy,1800,41013.6,1.60995e+06
merge_sort,prefix_heavy,1800,23881.1,725035
string_quick_sort,prefix_heavy,1800,2715.45,54958
string_merge_sort,prefix_heavy,1800,23498.3,725035
msd_radix_sort,prefix_heavy,1800,9056.28,79592
msd_radix_quick_sort,prefix_heavy,1800,6408.57,82795
quick_sort,random,1900,16977.6,557453
merge_sort,random,1900,4693.71,42125
string_quick_sort,random,1900,1750.69,21861
string_merge_sort,random,1900,4756.32,42125
msd_radix_sort,random,1900,4379.44,8708
msd_radix_quick_sort,random,1900,1182.17,12375
quick_sort,reverse_sorted,1900,12526.2,469144
merge_sort,reverse_sorted,1900,3556.02,31792
string_quick_sort,reverse_sorted,1900,5749.9,88100
string_merge_sort,reverse_sorted,1900,3695.92,31792
msd_radix_sort,reverse_sorted,1900,4314.16,8680
msd_radix_quick_sort,reverse_sorted,1900,1789.45,26402
quick_sort,nearly_sorted,1900,12715.3,473784
merge_sort,nearly_sorted,1900,3751.45,34251
string_quick_sort,nearly_sorted,1900,4067.15,62877
string_merge_sort,nearly_sorted,1900,3845.82,34251
msd_radix_sort,nearly_sorted,1900,4024.55,8670
msd_radix_quick_sort,nearly_sorted,1900,1223.97,14213
quick_sort,prefix_heavy,1900,26297.4,994566
merge_sort,prefix_heavy,1900,11632.5,334997
string_quick_sort,prefix_heavy,1900,1996.07,35765
string_merge_sort,prefix_heavy,1900,11440.6,334997
msd_radix_sort,prefix_heavy,1900,5983.12,39008
msd_radix_quick_sort,prefix_heavy,1900,3255.99,43036
quick_sort,random,2000,14936.4,605463
merge_sort,random,2000,4492.53,44632
string_quick_sort,random,2000,1687.02,23053
string_merge_sort,random,2000,4628.35,44632
msd_radix_sort,random,2000,4517.96,9194
msd_radix_quick_sort,random,2000,1277.63,13733
quick_sort,reverse_sorted,2000,12768.9,470688
merge_sort,reverse_sorted,2000,3384.21,33286
string_quick_sort,reverse_sorted,2000,4713.08,93666
string_merge_sort,reverse_sorted,2000,2678.5,33286
msd_radix_sort,reverse_sorted,2000,4455.49,9248
msd_radix_quick_sort,reverse_sorted,2000,1948.53,28893
quick_sort,nearly_sorted,2000,13403.4,503360
merge_sort,nearly_sorted,2000,3793.91,37254
string_quick_sort,nearly_sorted,2000,4260.21,62194
string_merge_sort,nearly_sorted,2000,3881.09,37254
msd_radix_sort,nearly_sorted,2000,4615.19,9308
msd_radix_quick_sort,nearly_sorted,2000,1259.25,15240
quick_sort,prefix_heavy,2000,53784.4,2.11303e+06
merge_sort,prefix_heavy,2000,33337.2,1.20504e+06
string_quick_sort,prefix_heavy,2000,2650.87,80504
string_merge_sort,prefix_heavy,2000,31994.8,1.20504e+06
msd_radix_sort,prefix_heavy,2000,11725.2,128078
msd_radix_quick_sort,prefix_heavy,2000,8757.91,131576
quick_sort,random,2100,17276.1,643365
merge_sort,random,2100,5017.98,47485
string_quick_sort,random,2100,1783.79,24219
string_merge_sort,random,2100,4921.29,47485
msd_radix_sort,random,2100,4572.89,9636
msd_radix_quick_sort,random,2100,1342.72,14356
quick_sort,reverse_sorted,2100,13087.2,501084
merge_sort,reverse_sorted,2100,3642.82,35254
string_quick_sort,reverse_sorted,2100,6423.73,98683
string_merge_sort,reverse_sorted,2100,3806.95,35254
msd_radix_sort,reverse_sorted,2100,4899.81,9718
msd_radix_quick_sort,reverse_sorted,2100,2068.58,31413
quick_sort,nearly_sorted,2100,12524.4,503374
merge_sort,nearly_sorted,2100,2251.38,25260
string_quick_sort,nearly_sorted,2100,5154.27,75602
string_merge_sort,nearly_sorted,2100,2889.86,25260
msd_radix_sort,nearly_sorted,2100,4624.71,9764
msd_radix_quick_sort,nearly_sorted,2100,1559.73,17610
quick_sort,prefix_heavy,2100,56866.2,2.39934e+06
merge_sort,prefix_heavy,2100,38089.9,1.393e+06
string_quick_sort,prefix_heavy,2100,3362.67,90826
string_merge_sort,prefix_heavy,2100,38857,1.393e+06
msd_radix_sort,prefix_heavy,2100,13734.8,146872
msd_radix_quick_sort,prefix_heavy,2100,9976.08,150364
quick_sort,random,2200,18182.3,666124
merge_sort,random,2200,5224.5,50466
string_quick_sort,random,2200,1836.93,24984
string_merge_sort,random,2200,5271.37,50466
msd_radix_sort,random,2200,5431,10314
msd_radix_quick_sort,random,2200,1323.03,15326
quick_sort,reverse_sorted,2200,13878,534586
merge_sort,reverse_sorted,2200,4026.33,38072
string_quick_sort,reverse_sorted,2200,6789.78,104576
string_merge_sort,reverse_sorted,2200,4051.55,38072
msd_radix_sort,reverse_sorted,2200,5205.26,10228
msd_radix_quick_sort,reverse_sorted,2200,2288.55,33446
quick_sort,nearly_sorted,2200,14000.6,535569
merge_sort,nearly_sorted,2200,4197.73,35789
string_quick_sort,nearly_sorted,2200,3356.92,53605
string_merge_sort,nearly_sorted,2200,4208.79,35789
msd_radix_sort,nearly_sorted,2200,5169.93,10324
msd_radix_quick_sort,nearly_sorted,2200,1506.56,17826
quick_sort,prefix_heavy,2200,34543.6,1.43679e+06
merge_sort,prefix_heavy,2200,19356,613929
string_quick_sort,prefix_heavy,2200,2564.27,53885
string_merge_sort,prefix_heavy,2200,18297.3,613929
msd_radix_sort,prefix_heavy,2200,7184.65,67218
msd_radix_quick_sort,prefix_heavy,2200,5398.86,71809
quick_sort,random,2300,19851.8,705319
merge_sort,random,2300,5521.92,53211
string_quick_sort,random,2300,2027.77,27866
string_merge_sort,random,2300,5286.21,53211
msd_radix_sort,random,2300,5467.46,10776
msd_radix_quick_sort,random,2300,1476.77,16116
quick_sort,reverse_sorted,2300,15477.1,576166
merge_sort,reverse_sorted,2300,4266.74,40514
string_quick_sort,reverse_sorted,2300,7286.38,109373
string_merge_sort,reverse_sorted,2300,4223.2,40514
msd_radix_sort,reverse_sorted,2300,5691.07,10744
msd_radix_quick_sort,reverse_sorted,2300,2617.92,36584
quick_sort,nearly_sorted,2300,16866.5,591095
merge_sort,nearly_sorted,2300,4734.62,42694
string_quick_sort,nearly_sorted,2300,5293.58,76946
string_merge_sort,nearly_sorted,2300,4853,42694
msd_radix_sort,nearly_sorted,2300,5490.26,10824
msd_radix_quick_sort,nearly_sorted,2300,1480.56,18199
quick_sort,prefix_heavy,2300,64905.2,2.63281e+06
merge_sort,prefix_heavy,2300,44946.4,1.59584e+06
string_quick_sort,prefix_heavy,2300,3791.69,102748
string_merge_sort,prefix_heavy,2300,42779.8,1.59584e+06
msd_radix_sort,prefix_heavy,2300,15111,165406
